experiment,point,point_label,run,seed,build,status,error
diagnostic-manifold-base,0,"N_loc=20, N_phi=10, N_J=24, N_manifold=6, lambda_manifold=0.5, sync_steps=1",4,4,ADP,numerical_failure,"RuntimeError: rank-deficient local slope for target 7: rank=0, required=1; increase N_phi or N_loc"
diagnostic-manifold-base,0,"N_loc=20, N_phi=10, N_J=24, N_manifold=6, lambda_manifold=0.5, sync_steps=1",5,5,ADP,numerical_failure,"RuntimeError: rank-deficient local slope for target 3: rank=0, required=1; increase N_phi or N_loc"
diagnostic-manifold-base,0,"N_loc=20, N_phi=10, N_J=24, N_manifold=6, lambda_manifold=0.5, sync_steps=1",6,6,ADP,numerical_failure,"RuntimeError: rank-deficient local slope for target 14: rank=0, required=1; increase N_phi or N_loc"
diagnostic-manifold-base,0,"N_loc=20, N_phi=10, N_J=24, N_manifold=6, lambda_manifold=0.5, sync_steps=1",7,7,ADP,numerical_failure,"RuntimeError: rank-deficient local slope for target 17: rank=0, required=1; increase N_phi or N_loc"
diagnostic-manifold-base,0,"N_loc=20, N_phi=10, N_J=24, N_manifold=6, lambda_manifold=0.5, sync_steps=1",8,8,ADP,numerical_failure,"RuntimeError: rank-deficient local slope for target 9: rank=0, required=1; increase N_phi or N_loc"
diagnostic-manifold-base,0,"N_loc=20, N_phi=10, N_J=24, N_manifold=6, lambda_manifold=0.5, sync_steps=1",9,9,ADP,numerical_failure,"RuntimeError: rank-deficient local slope for target 1: rank=0, required=1; increase N_phi or N_loc"
diagnostic-manifold-base,1,"N_loc=10, N_phi=10, N_J=24, N_manifold=6, lambda_manifold=0.5, sync_steps=1",0,0,ADP,numerical_failure,"RuntimeError: rank-deficient local slope for target 10: rank=0, required=1; increase N_phi or N_loc"
diagnostic-manifold-base,1,"N_loc=10, N_phi=10, N_J=24, N_manifold=6, lambda_manifold=0.5, sync_steps=1",4,4,ADP,numerical_failure,"RuntimeError: rank-deficient local slope for target 18: rank=0, required=1; increase N_phi or N_loc"
diagnostic-manifold-base,1,"N_loc=10, N_phi=10, N_J=24, N_manifold=6, lambda_manifold=0.5, sync_steps=1",5,5,ADP,numerical_failure,"RuntimeError: rank-deficient local slope for target 3: rank=0, required=1; increase N_phi or N_loc"
diagnostic-manifold-base,1,"N_loc=10, N_phi=10, N_J=24, N_manifold=6, lambda_manifold=0.5, sync_steps=1",6,6,ADP,numerical_failure,"RuntimeError: rank-deficient local slope for target 14: rank=0, required=1; increase N_phi or N_loc"
diagnostic-manifold-base,1,"N_loc=10, N_phi=10, N_J=24, N_manifold=6, lambda_manifold=0.5, sync_steps=1",7,7,ADP,numerical_failure,"RuntimeError: rank-deficient local slope for target 3: rank=0, required=1; increase N_phi or N_loc"
diagnostic-manifold-base,1,"N_loc=10, N_phi=10, N_J=24, N_manifold=6, lambda_manifold=0.5, sync_steps=1",8,8,ADP,numerical_failure,"RuntimeError: rank-deficient local slope for target 9: rank=0, required=1; increase N_phi or N_loc"
diagnostic-manifold-base,1,"N_loc=10, N_phi=10, N_J=24, N_manifold=6, lambda_manifold=0.5, sync_steps=1",9,9,ADP,numerical_failure,"RuntimeError: rank-deficient local slope for target 12: rank=0, required=1; increase N_phi or N_loc"
diagnostic-manifold-base,1,"N_loc=10, N_phi=10, N_J=24, N_manifold=6, lambda_manifold=0.5, sync_steps=1",10,10,ADP,numerical_failure,"RuntimeError: rank-deficient local slope for target 16: rank=0, required=1; increase N_phi or N_loc"
diagnostic-manifold-base,2,"N_loc=30, N_phi=10, N_J=24, N_manifold=6, lambda_manifold=0.5, sync_steps=1",6,6,ADP,numerical_failure,"RuntimeError: rank-deficient local slope for target 14: rank=0, required=1; increase N_phi or N_loc"
diagnostic-manifold-base,2,"N_loc=30, N_phi=10, N_J=24, N_manifold=6, lambda_manifold=0.5, sync_steps=1",8,8,ADP,numerical_failure,"RuntimeError: rank-deficient local slope for target 9: rank=0, required=1; increase N_phi or N_loc"
diagnostic-manifold-base,3,"N_loc=20, N_phi=4, N_J=24, N_manifold=6, lambda_manifold=0.5, sync_steps=1",4,4,ADP,numerical_failure,"RuntimeError: rank-deficient local slope for target 7: rank=0, required=1; increase N_phi or N_loc"
diagnostic-manifold-base,3,"N_loc=20, N_phi=4, N_J=24, N_manifold=6, lambda_manifold=0.5, sync_steps=1",5,5,ADP,numerical_failure,"RuntimeError: rank-deficient local slope for target 3: rank=0, required=1; increase N_phi or N_loc"
diagnostic-manifold-base,3,"N_loc=20, N_phi=4, N_J=24, N_manifold=6, lambda_manifold=0.5, sync_steps=1",6,6,ADP,numerical_failure,"RuntimeError: rank-deficient local slope for target 14: rank=0, required=1; increase N_phi or N_loc"
diagnostic-manifold-base,3,"N_loc=20, N_phi=4, N_J=24, N_manifold=6, lambda_manifold=0.5, sync_steps=1",7,7,ADP,numerical_failure,"RuntimeError: rank-deficient local slope for target 17: rank=0, required=1; increase N_phi or N_loc"
diagnostic-manifold-base,3,"N_loc=20, N_phi=4, N_J=24, N_manifold=6, lambda_manifold=0.5, sync_steps=1",8,8,ADP,numerical_failure,"RuntimeError: rank-deficient local slope for target 9: rank=0, required=1; increase N_phi or N_loc"
diagnostic-manifold-base,3,"N_loc=20, N_phi=4, N_J=24, N_manifold=6, lambda_manifold=0.5, sync_steps=1",9,9,ADP,numerical_failure,"RuntimeError: rank-deficient local slope for target 12: rank=0, required=1; increase N_phi or N_loc"
diagnostic-manifold-base,4,"N_loc=20, N_phi=16, N_J=24, N_manifold=6, lambda_manifold=0.5, sync_steps=1",4,4,ADP,numerical_failure,"RuntimeError: rank-deficient local slope for target 7: rank=0, required=1; increase N_phi or N_loc"
diagnostic-manifold-base,4,"N_loc=20, N_phi=16, N_J=24, N_manifold=6, lambda_manifold=0.5, sync_steps=1",5,5,ADP,numerical_failure,"RuntimeError: rank-deficient local slope for target 3: rank=0, required=1; increase N_phi or N_loc"
diagnostic-manifold-base,4,"N_loc=20, N_phi=16, N_J=24, N_manifold=6, lambda_manifold=0.5, sync_steps=1",6,6,ADP,numerical_failure,"RuntimeError: rank-deficient local slope for target 14: rank=0, required=1; increase N_phi or N_loc"
diagnostic-manifold-base,4,"N_loc=20, N_phi=16, N_J=24, N_manifold=6, lambda_manifold=0.5, sync_steps=1",8,8,ADP,numerical_failure,"RuntimeError: rank-deficient local slope for target 9: rank=0, required=1; increase N_phi or N_loc"
